Source,Voltage,Current,Power (Watts)
,33.23,0.73,24.2
,33.26,0.69,22.9
,33.26,0.65,21.7
,33.26,0.61,20.4
,33.26,0.58,19.4
,33.29,0.55,18.3
,33.32,0.52,17.5
,33.32,0.49,16.5
,33.29,0.47,15.6
,33.35,0.44,14.7
,33.29,0.42,13.9
,33.35,0.39,13.1
,33.32,0.37,12.4
,33.35,0.35,11.8
,33.35,0.33,11.0
,33.35,0.31,10.3
,33.41,0.29,9.8
,33.41,0.28,9.4
,33.35,0.27,8.9
,33.35,0.25,8.5
,33.35,0.25,8.3
,33.41,0.23,7.8
,33.41,0.22,7.4
,33.38,0.21,7.1
,33.44,0.20,6.5
,33.44,0.18,6.1
,,,
Inv1-S3-Module35 11-4-2022 12-03 PM (GMT+5).csv,5.83,16.98,99.0
,6.99,16.99,118.8
,7.88,16.98,133.8
,8.80,16.97,149.3
,9.72,16.97,164.9
,10.64,16.96,180.4
,11.55,16.96,195.9
,12.35,16.95,209.4
,13.27,16.95,224.8
,14.19,16.94,240.4
,15.11,16.94,255.8
,15.93,16.93,269.7
,16.79,16.91,283.8
,17.71,16.89,299.1
,18.60,16.88,313.8
,19.48,16.87,328.6
,20.34,16.86,342.9
,21.26,16.85,358.2
,22.02,16.80,369.9
,22.91,16.70,382.6
,23.64,16.51,390.4
,24.34,16.27,396.0
,25.07,15.94,399.8
,25.71,15.55,399.8
,26.32,15.09,397.1
,26.89,14.56,391.6
,27.46,13.98,384.0
,27.88,13.37,372.8
,28.33,12.73,360.7
,28.78,12.08,347.6
,29.14,11.43,333.0
,29.44,10.78,317.4
,29.79,10.15,302.3
,30.09,9.53,286.9
,30.36,8.94,271.5
,30.62,8.38,256.6
,30.89,7.84,242.2
,31.07,7.33,227.8
,31.24,6.85,214.1
,31.48,6.40,201.6
,31.63,5.98,189.1
,31.72,5.58,177.1
,31.92,5.22,166.6
,32.04,4.87,156.1
,32.13,4.55,146.3
,32.28,4.25,137.3
,32.33,3.97,128.5
,32.45,3.72,120.8
,32.51,3.49,113.3
,32.63,3.26,106.5
,32.69,3.06,100.0
,32.78,2.87,94.0
,32.81,2.69,88.3
,32.86,2.53,83.1
,32.92,2.37,78.2
,32.98,2.23,73.6
,33.04,2.10,69.4
,33.07,1.97,65.3
,33.13,1.86,61.6
,33.13,1.75,58.0
,33.19,1.65,54.8
,33.25,1.56,51.7
,33.28,1.47,48.8
,33.31,1.38,46.0
,33.27,1.30,43.4
,33.30,1.23,41.0
,33.33,1.16,38.8
,33.42,1.10,36.6
,33.39,1.04,34.6
,33.36,0.98,32.6
,33.45,0.92,30.8
,33.42,0.87,29.1
,33.48,0.82,27.6
,33.51,0.78,26.1
,33.48,0.73,24.6
,33.51,0.70,23.3
,33.51,0.66,22.0
,33.51,0.62,20.9
,33.51,0.59,19.7
,33.51,0.56,18.7
,33.57,0.53,17.8
,33.60,0.50,16.9
,33.54,0.48,16.0
,33.57,0.45,15.1
,33.57,0.42,14.2
,33.60,0.40,13.5
,33.60,0.38,12.8
,33.63,0.36,12.1
,33.63,0.33,11.2
,33.63,0.31,10.5
,33.63,0.30,10.0
,33.63,0.28,9.6
,33.66,0.27,9.2
,33.63,0.26,8.7
,33.69,0.25,8.4
,33.66,0.24,7.9
,33.66,0.23,7.6
,33.69,0.21,7.2
,33.66,0.20,6.8
,33.69,0.18,6.1
,,,
Inv1-S3-Module36 11-4-2022 12-03 PM (GMT+5).csv,5.12,16.72,85.6
,6.83,16.72,114.3
,7.72,16.72,129.1
,8.58,16.72,143.4
,9.50,16.71,158.7
,10.39,16.71,173.5
,11.30,16.70,188.8
,12.19,16.70,203.6
,13.05,16.69,217.8
,13.94,16.69,232.6
,14.83,16.68,247.4
,15.71,16.68,262.1
,16.60,16.67,276.8
,17.49,16.66,291.4
,18.38,16.66,306.1
,19.27,16.65,320.7
,20.09,16.63,334.2
,21.04,16.62,349.7
,21.93,16.60,364.0
,22.66,16.50,373.9
,23.46,16.33,383.0
,24.16,16.09,388.7
,24.86,15.78,392.2
,25.52,15.39,392.9
,26.13,14.94,390.4
,26.70,14.42,385.1
,27.25,13.85,377.4
,27.73,13.24,367.1
,28.12,12.61,354.5
,28.53,11.96,341.3
,28.95,11.31,327.3
,29.31,10.66,312.6
,29.67,10.04,297.8
,29.87,9.43,281.6
,30.23,8.84,267.3
,30.47,8.28,252.2
,30.68,7.74,237.6
,30.91,7.24,223.8
,31.12,6.76,210.5
,31.27,6.32,197.6
,31.48,5.90,185.7
,31.59,5.51,174.1
,31.74,5.15,163.4
,31.86,4.81,153.1
,31.94,4.49,143.4
,32.12,4.19,134.7
,32.21,3.92,126.3
,32.33,3.67,118.6
,32.39,3.43,111.2
,32.45,3.22,104.4
,32.53,3.01,98.0
,32.59,2.82,92.0
,32.65,2.65,86.5
,32.71,2.49,81.3
,32.80,2.34,76.6
,32.80,2.19,72.0
,32.86,2.07,67.9
,32.89,1.94,63.8
,32.98,1.83,60.2
,33.00,1.72,56.8
,33.03,1.62,53.6
,33.06,1.53,50.5
,33.06,1.44,47.6
,33.09,1.36,44.9
,33.12,1.28,42.5
,33.18,1.21,40.1
,33.15,1.14,37.8
,33.21,1.08,35.7
,33.24,1.02,33.8
,33.24,0.96,31.9
,33.30,0.90,30.1
,33.27,0.85,28.4
,33.30,0.81,26.8
,33.30,0.76,25.4
,33.33,0.72,24.0
,33.33,0.68,22.7
,33.36,0.65,21.6
,33.36,0.61,20.4
,33.36,0.58,19.3
,33.35,0.54,18.1
,33.35,0.52,17.2
,33.42,0.49,16.3
,33.38,0.46,15.4
,33.44,0.44,14.6
,33.41,0.41,13.8
,33.41,0.39,13.1
,33.44,0.37,12.4
,33.47,0.35,11.7
,33.44,0.32,10.9
,33.44,0.31,10.3
,33.44,0.29,9.7
,33.47,0.28,9.3
,33.47,0.27,8.9
,33.44,0.25,8.5
,33.47,0.24,8.2
,33.47,0.23,7.8
,33.50,0.22,7.4
,33.47,0.21,7.0
,33.50,0.19,6.5
,33.50,0.18,6.1
,,,
Inv1-S3-Module4 11-4-2022 11-43 AM (GMT+5).csv,5.90,17.52,103.3
,7.18,17.50,125.7
,8.07,17.49,141.2
,9.02,17.48,157.7
,9.88,17.48,172.7
,10.77,17.47,188.1
,11.68,17.47,204.1
,12.57,17.47,219.6
,13.46,17.46,235.0
,14.35,17.46,250.5
,15.27,17.45,266.4
,16.15,17.45,281.8
,17.04,17.43,297.1
,17.93,17.41,312.2
,18.79,17.40,326.8
,19.71,17.38,342.5
,20.53,17.37,356.7
,21.48,17.36,372.8
,22.31,17.34,386.7
,23.07,17.21,397.1
,23.80,17.01,404.8
,24.50,16.73,409.9
,25.23,16.37,413.1
,25.87,15.94,412.3
,26.47,15.43,408.6
,27.02,14.87,401.9
,27.56,14.27,393.2
,27.98,13.62,381.1
,28.43,12.96,368.4
,28.85,12.29,354.4
,29.20,11.62,339.3
,29.56,10.96,324.0
,29.86,10.32,308.0
,30.18,9.69,292.5
,30.39,9.09,276.4
,30.69,8.53,261.7
,30.92,7.98,246.9
,31.13,7.47,232.6
,31.31,6.99,218.7
,31.48,6.54,205.8
,31.60,6.11,193.0
,31.78,5.71,181.5
,31.90,5.34,170.2
,32.04,4.99,160.0
,32.16,4.67,150.2
,32.28,4.37,141.0
,32.40,4.09,132.5
,32.52,3.83,124.5
,32.57,3.59,117.0
,32.66,3.36,109.8
,32.72,3.15,103.2
,32.81,2.96,97.1
,32.87,2.78,91.4
,32.93,2.61,86.0
,32.95,2.46,81.1
,33.01,2.31,76.4
,33.01,2.18,71.9
,33.10,2.05,67.9
,33.16,1.93,64.1
,33.19,1.82,60.5
,33.25,1.72,57.2
,33.25,1.62,53.9
,33.28,1.53,50.9
,33.28,1.44,48.1
,33.34,1.36,45.3
,33.37,1.29,43.0
,33.36,1.21,40.5
,33.42,1.15,38.4
,33.42,1.08,36.2
,33.45,1.03,34.3
,33.45,0.97,32.4
,33.48,0.91,30.6
,33.48,0.87,29.0
,33.51,0.82,27.6
,33.51,0.78,26.0
,33.54,0.74,24.7
,33.54,0.70,23.3
,33.54,0.66,22.0
,33.57,0.63,21.0
,33.57,0.59,19.8
,33.57,0.56,18.9
,33.60,0.53,17.8
,33.63,0.50,16.9
,33.63,0.48,16.1
,33.63,0.45,15.2
,33.63,0.43,14.4
,33.66,0.41,13.6
,33.69,0.38,13.0
,33.63,0.36,12.2
,33.69,0.34,11.5
,33.66,0.32,10.8
,33.72,0.30,10.3
,33.72,0.29,9.9
,33.69,0.28,9.3
,33.69,0.26,8.9
,33.69,0.25,8.5
,33.72,0.24,8.2
,33.69,0.23,7.8
,33.66,0.22,7.4
,33.72,0.21,7.0
,,,
Inv1-S3-Module5 11-4-2022 11-44 AM (GMT+5).csv,5.40,17.04,92.0
,6.81,17.04,116.0
,7.67,17.03,130.6
,8.58,17.03,146.2
,9.44,17.02,160.7
,10.36,17.01,176.3
,11.28,17.01,191.8
,12.17,17.00,206.8
,12.99,16.99,220.8
,13.91,16.98,236.3
,14.77,16.98,250.7
,15.63,16.95,264.9
,16.45,16.91,278.3
,17.34,16.88,292.6
,18.23,16.85,307.2
,19.08,16.84,321.4
,19.97,16.83,336.1
,20.83,16.81,350.2
,21.69,16.79,364.1
,22.42,16.72,374.8
,23.28,16.54,384.9
,23.91,16.29,389.6
,24.61,15.98,393.4
,25.22,15.59,393.2
,25.83,15.13,390.8
,26.43,14.61,386.3
,26.94,14.05,378.5
,27.39,13.44,368.0
,27.84,12.80,356.5
,28.23,12.16,343.3
,28.65,11.51,329.9
,28.95,10.87,314.7
,29.31,10.25,300.2
,29.60,9.64,285.3
,29.84,9.05,270.1
,30.11,8.49,255.5
,30.37,7.95,241.5
,30.55,7.45,227.5
,30.79,6.97,214.6
,30.96,6.52,201.9
,31.14,6.10,189.9
,31.29,5.70,178.4
,31.41,5.33,167.5
,31.58,4.99,157.6
,31.67,4.67,147.8
,31.76,4.37,138.7
,31.88,4.09,130.4
,31.96,3.83,122.4
,32.08,3.59,115.2
,32.14,3.37,108.2
,32.17,3.16,101.5
,32.26,2.96,95.6
,32.35,2.78,90.0
,32.44,2.62,84.8
,32.43,2.46,79.8
,32.52,2.32,75.3
,32.61,2.18,71.0
,32.61,2.05,66.8
,32.64,1.93,63.1
,32.70,1.82,59.5
,32.73,1.72,56.2
,32.76,1.62,53.0
,32.76,1.53,50.1
,32.79,1.44,47.4
,32.85,1.36,44.7
,32.88,1.28,42.2
,32.91,1.21,39.9
,32.94,1.15,37.8
,32.93,1.08,35.7
,32.96,1.03,33.8
,33.02,0.97,31.9
,32.99,0.91,30.1
,33.02,0.87,28.6
,33.02,0.82,27.1
,33.05,0.78,25.6
,33.08,0.73,24.3
,33.05,0.70,23.0
,33.08,0.66,21.7
,33.14,0.62,20.7
,33.17,0.59,19.5
,33.11,0.56,18.4
,33.14,0.53,17.5
,33.14,0.50,16.6
,33.17,0.48,15.8
,33.17,0.45,15.0
,33.17,0.43,14.2
,33.20,0.40,13.4
,33.17,0.38,12.7
,33.17,0.36,11.9
,33.20,0.33,11.1
,33.23,0.32,10.5
,33.23,0.30,10.0
,33.20,0.29,9.5
,33.20,0.27,9.1
,33.20,0.26,8.8
,33.23,0.25,8.2
,33.20,0.24,8.0
,33.23,0.23,7.6
,33.26,0.22,7.2
,33.23,0.21,6.9
,,,
Inv1-S3-Module6 11-4-2022 11-44 AM (GMT+5).csv,5.58,16.82,93.8
,6.90,16.80,115.8
,7.82,16.79,131.2
,8.70,16.79,146.1
,9.56,16.78,160.4
,10.51,16.78,176.4
,11.43,16.77,191.7
,12.32,16.77,206.6
,13.17,16.77,220.9
,14.09,16.76,236.3
,15.01,16.76,251.6
,15.90,16.76,266.4
,16.79,16.75,281.2
,17.67,16.74,296.0
,18.56,16.74,310.7
,19.45,16.72,325.2
,20.28,16.70,338.6
,21.20,16.69,353.7
,22.02,16.65,366.7
,22.82,16.55,377.7
,23.64,16.39,387.5
,24.37,16.17,394.2
,25.13,15.87,399.0
,25.80,15.50,400.0
,26.41,15.06,397.7
,26.98,14.55,392.5
,27.52,13.99,384.9
,28.04,13.38,375.0
,28.49,12.74,362.9
,28.90,12.09,349.4
,29.29,11.43,334.8
,29.62,10.78,319.3
,29.98,10.14,304.0
,30.24,9.52,288.0
,30.57,8.92,272.8
,30.81,8.35,257.3
,31.08,7.81,242.7
,31.28,7.30,228.2
,31.46,6.81,214.3
,31.64,6.36,201.2
,31.81,5.93,188.7
,31.96,5.53,176.9
,32.14,5.17,166.1
,32.19,4.81,155.0
,32.34,4.50,145.4
,32.49,4.20,136.5
,32.58,3.92,127.8
,32.64,3.67,119.6
,32.75,3.43,112.3
,32.84,3.21,105.4
,32.87,3.00,98.7
,32.93,2.82,92.8
,33.02,2.64,87.2
,33.05,2.48,81.8
,33.11,2.33,77.0
,33.16,2.18,72.4
,33.22,2.05,68.2
,33.28,1.93,64.2
,33.31,1.82,60.5
,33.34,1.70,56.8
,33.40,1.61,53.6
,33.43,1.51,50.5
,33.43,1.42,47.5
,33.49,1.34,44.8
,33.49,1.27,42.4
,33.52,1.19,39.9
,33.55,1.12,37.7
,33.55,1.06,35.4
,33.58,1.00,33.6
,33.58,0.94,31.7
,33.64,0.89,29.9
,33.67,0.84,28.2
,33.63,0.79,26.6
,33.66,0.75,25.2
,33.66,0.71,23.8
,33.66,0.67,22.4
,33.72,0.63,21.3
,33.72,0.59,20.0
,33.75,0.56,19.0
,33.75,0.53,18.0
,33.75,0.51,17.1
,33.75,0.48,16.1
,33.75,0.45,15.2
,33.75,0.43,14.4
,33.78,0.41,13.7
,33.81,0.38,12.9
,33.78,0.36,12.1
,33.81,0.33,11.3
,33.78,0.31,10.6
,33.81,0.30,10.0
,33.84,0.29,9.7
,33.84,0.27,9.2
,33.78,0.26,8.8
,33.84,0.25,8.3
,33.81,0.24,8.0
,33.84,0.22,7.6
,33.81,0.21,7.2
,33.84,0.20,6.8
,33.84,0.18,6.1
,33.87,0.18,6.1
,,,
Inv1-S3-Module7 11-4-2022 11-48 AM (GMT+5).csv,4.71,17.84,84.0
,6.33,17.83,112.9
,7.25,17.83,129.2
,8.17,17.82,145.6
,9.09,17.82,161.9
,9.97,17.81,177.7
,10.89,17.81,194.0
,11.81,17.80,210.2
,12.73,17.79,226.5
,13.62,17.79,242.2
,14.51,17.78,257.9
,15.49,17.77,275.1
,16.34,17.76,290.2
,17.26,17.75,306.4
,18.21,17.74,323.1
,19.04,17.74,337.7
,19.99,17.73,354.4
,20.84,17.72,369.3
,21.76,17.70,385.1
,22.59,17.67,399.0
,23.38,17.55,410.5
,24.14,17.36,419.0
,24.88,17.09,425.0
,25.54,16.73,427.4
,26.24,16.30,427.7
,26.82,15.79,423.4
,27.42,15.22,417.2
,27.96,14.59,408.0
,28.38,13.93,395.4
,28.83,13.25,382.0
,29.22,12.56,367.1
,29.61,11.87,351.5
,29.93,11.19,335.1
,30.26,10.53,318.7
,30.59,9.89,302.4
,30.82,9.28,286.0
,31.06,8.69,269.9
,31.33,8.13,254.8
,31.50,7.61,239.7
,31.71,7.11,225.5
,31.92,6.65,212.1
,32.03,6.22,199.1
,32.15,5.81,186.8
,32.36,5.43,175.7
,32.44,5.07,164.6
,32.62,4.75,154.8
,32.71,4.44,145.2
,32.83,4.15,136.3
,32.91,3.89,128.0
,33.00,3.64,120.2
,33.09,3.41,113.0
,33.15,3.20,106.2
,33.21,3.01,99.8
,33.27,2.83,94.0
,33.33,2.65,88.4
,33.38,2.49,83.3
,33.44,2.35,78.4
,33.47,2.21,73.9
,33.50,2.08,69.6
,33.53,1.96,65.7
,33.62,1.85,62.2
,33.62,1.75,58.7
,33.65,1.65,55.4
,33.71,1.55,52.3
,33.71,1.47,49.4
,33.73,1.38,46.7
,33.79,1.31,44.2
,33.82,1.24,41.8
,33.85,1.16,39.4
,33.85,1.10,37.4
,33.85,1.04,35.3
,33.88,0.99,33.5
,33.88,0.93,31.6
,33.91,0.88,30.0
,33.97,0.83,28.3
,34.00,0.79,26.9
,33.94,0.75,25.4
,33.94,0.71,24.2
,34.00,0.67,22.9
,33.97,0.64,21.6
,34.03,0.60,20.6
,34.06,0.57,19.5
,34.00,0.54,18.4
,34.03,0.52,17.6
,34.00,0.49,16.6
,34.06,0.46,15.8
,34.06,0.44,15.0
,34.09,0.42,14.2
,34.09,0.39,13.5
,34.09,0.37,12.6
,34.09,0.35,12.0
,34.15,0.33,11.3
,34.12,0.31,10.6
,34.12,0.30,10.2
,34.12,0.28,9.7
,34.12,0.27,9.3
,34.12,0.26,8.8
,34.12,0.25,8.5
,34.15,0.24,8.1
,34.15,0.23,7.8
,,,
Inv1-S3-Module8 11-4-2022 11-49 AM (GMT+5).csv,5.65,17.56,99.3
,7.15,17.55,125.6
,8.07,17.55,141.6
,8.96,17.54,157.2
,9.91,17.53,173.7
,10.86,17.53,190.3
,11.75,17.52,205.8
,12.63,17.52,221.3
,13.58,17.51,237.8
,14.44,17.50,252.8
,15.33,17.50,268.2
,16.22,17.49,283.6
,17.13,17.49,299.7
,18.05,17.48,315.6
,19.00,17.47,332.0
,19.89,17.45,347.1
,20.78,17.43,362.2
,21.63,17.39,376.3
,22.46,17.31,388.8
,23.28,17.19,400.2
,24.02,17.02,408.7
,24.78,16.77,415.6
,25.54,16.45,420.0
,26.15,16.04,419.3
,26.78,15.56,416.7
,27.32,15.01,410.1
,27.87,14.41,401.5
,28.35,13.76,390.2
,28.83,13.10,377.7
,29.18,12.42,362.5
,29.57,11.74,347.3
,29.96,11.07,331.8
,30.23,10.42,314.9
,30.55,9.78,298.9
,30.85,9.18,283.1
,31.06,8.59,266.9
,31.35,8.04,252.1
,31.53,7.52,237.1
,31.71,7.03,222.9
,31.88,6.57,209.4
,32.09,6.13,196.8
,32.24,5.73,184.6
,32.36,5.35,173.2
,32.47,5.00,162.4
,32.62,4.67,152.4
,32.74,4.37,143.1
,32.83,4.09,134.2
,32.94,3.82,125.9
,33.00,3.59,118.3
,33.09,3.36,111.0
,33.15,3.14,104.2
,33.24,2.95,98.1
,33.27,2.77,92.0
,33.35,2.60,86.7
,33.41,2.44,81.7
,33.44,2.30,77.0
,33.47,2.16,72.4
,33.56,2.04,68.3
,33.59,1.92,64.4
,33.62,1.81,60.7
,33.68,1.70,57.3
,33.68,1.61,54.1
,33.74,1.51,51.1
,33.74,1.43,48.3
,33.73,1.35,45.4
,33.79,1.27,42.9
,33.82,1.20,40.6
,33.82,1.13,38.3
,33.85,1.07,36.3
,33.88,1.01,34.3
,33.91,0.96,32.4
,33.94,0.90,30.6
,33.97,0.85,29.0
,33.94,0.81,27.4
,33.94,0.77,26.1
,33.94,0.73,24.6
,33.97,0.69,23.3
,34.00,0.65,22.1
,34.03,0.61,20.8
,34.03,0.58,19.8
,34.03,0.55,18.8
,34.06,0.52,17.8
,34.09,0.50,16.9
,34.06,0.47,16.0
,34.09,0.44,15.1
,34.06,0.42,14.3
,34.09,0.40,13.6
,34.15,0.37,12.8
,34.06,0.35,12.1
,34.12,0.33,11.3
,34.12,0.31,10.7
,34.12,0.30,10.2
,34.15,0.28,9.7
,34.18,0.27,9.2
,34.12,0.26,8.8
,34.15,0.25,8.5
,34.15,0.24,8.1
,34.15,0.23,7.8
,34.18,0.22,7.4
,34.15,0.20,7.0
,,,
Inv1-S3-Module9 11-4-2022 11-49 AM (GMT+5).csv,6.18,17.89,110.6
,7.43,17.87,132.9
,8.35,17.86,149.2
,9.27,17.86,165.5
,10.22,17.85,182.4
,11.11,17.84,198.2
,12.06,17.83,215.0
,12.94,17.83,230.8
,13.89,17.82,247.6
,14.78,17.82,263.4
,15.70,17.81,279.7
,16.56,17.80,294.8
,17.48,17.79,310.9
,18.39,17.78,327.1
,19.28,17.76,342.5
,20.20,17.75,358.6
,21.12,17.73,374.4
,22.04,17.72,390.4
,22.86,17.69,404.6
,23.69,17.61,417.1
,24.48,17.40,425.9
,25.18,17.13,431.3
,25.94,16.77,435.1
,26.58,16.33,434.1
,27.18,15.82,430.2
,27.73,15.25,422.7
,28.27,14.62,413.3
,28.72,13.96,400.9
,29.17,13.27,387.1
,29.59,12.58,372.1
,29.97,11.88,356.2
,30.30,11.20,339.4
,30.66,10.54,323.1
,30.92,9.90,306.0
,31.19,9.28,289.5
,31.43,8.69,273.1
,31.66,8.13,257.5
,31.90,7.60,242.5
,32.08,7.11,227.9
,32.28,6.64,214.4
,32.43,6.20,201.2
,32.58,5.80,188.9
,32.66,5.42,177.0
,32.81,5.06,166.0
,32.99,4.73,156.1
,33.08,4.42,146.2
,33.13,4.14,137.1
,33.25,3.87,128.8
,33.40,3.63,121.2
,33.43,3.40,113.6
,33.49,3.19,106.8
,33.58,2.99,100.4
,33.66,2.81,94.4
,33.72,2.64,88.9
,33.78,2.47,83.6
,33.81,2.34,79.0
,33.84,2.19,74.3
,33.87,2.07,70.0
,33.93,1.95,66.0
,33.96,1.83,62.3
,33.98,1.73,58.7
,34.01,1.63,55.6
,34.04,1.54,52.5
,34.07,1.45,49.5
,34.10,1.37,46.7
,34.13,1.30,44.2
,34.16,1.22,41.7
,34.19,1.16,39.6
,34.22,1.09,37.4
,34.25,1.03,35.3
,34.25,0.98,33.5
,34.28,0.92,31.6
,34.28,0.87,29.8
,34.31,0.83,28.3
,34.31,0.78,26.8
,34.28,0.74,25.3
,34.37,0.70,24.1
,34.37,0.67,22.9
,34.37,0.63,21.6
,34.34,0.60,20.5
,34.33,0.57,19.4
,34.37,0.53,18.4
,34.36,0.51,17.5
,34.39,0.48,16.6
,34.43,0.46,15.7
,34.42,0.43,14.8
,34.49,0.41,14.0
,34.42,0.39,13.3
,34.42,0.37,12.6
,34.45,0.34,11.9
,34.45,0.32,11.2
,34.48,0.30,10.5
,34.45,0.29,10.1
,34.51,0.28,9.6
,34.51,0.27,9.2
,34.48,0.25,8.8
,34.45,0.25,8.5
,34.51,0.23,7.9
,34.48,0.22,7.6
,34.48,0.213616677,7.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
