Source,Voltage,Current,Pmax
Inv2-S1 1-22-2024 11-14 AM (GMT+5).csv,23.21,9.08,210.6538435
,42.15,9.07,382.1079397
,60.93,9.05,551.4447952
,79.64,9.03,719.4648075
,98.22,9.02,885.9290507
,116.71,9.01,1051.548863
,135.16,9,1216.848424
,153.52,8.99,1380.642104
,171.85,8.99,1544.62108
,190.07,8.98,1707.555509
,208.21,8.98,1868.945039
,226.34,8.96,2028.436289
,244.31,8.95,2187.728737
,262.31,8.95,2346.417593
,280.29,8.94,2505.147124
,298.1,8.93,2662.178819
,315.62,8.91,2813.324845
,332.62,8.9,2961.699631
,349.53,8.89,3107.203146
,366.31,8.86,3245.779443
,382.96,8.85,3390.551711
,399.64,8.85,3536.331084
,416.2,8.84,3677.802354
,432.75,8.83,3820.960022
,449.14,8.81,3959.211688
,465.51,8.8,4096.706128
,481.77,8.79,4235.200009
,498,8.78,4371.897992
,514.11,8.76,4505.837134
,530.05,8.74,4632.794291
,545.96,8.71,4754.757207
,561.71,8.68,4878.385823
,577.33,8.63,4983.4511
,592.78,8.58,5088.335565
,607.98,8.44,5132.412763
,622.8,8.26,5141.958015
,637.09,8.02,5106.552622
,650.78,7.71,5017.177238
,663.78,7.35,4880.845564
,675.92,6.94,4691.709418
,687.32,6.49,4462.90593
,697.71,6.02,4202.731614
,707.21,5.54,3917.562438
,715.83,5.05,3617.080204
,723.56,4.58,3316.287299
,730.41,4.14,3024.01487
,736.52,3.72,2737.120961
,741.87,3.33,2471.088905
,746.63,2.98,2224.409199
,750.71,2.66,1997.917488
,754.32,2.37,1787.680635
,757.47,2.11,1599.948112
,760.17,1.89,1433.556192
,762.62,1.69,1285.717808
,764.64,1.51,1152.854696
,766.41,1.35,1033.694017
,767.96,1.21,930.3493686
,769.37,1.09,837.5606424
,770.6,0.98,757.2294491
,771.62,0.89,685.7620576
,772.59,0.8,621.4932244
,773.36,0.74,569.9610083
,774.07,0.67,522.0102177
,774.65,0.62,477.6234532
,775.23,0.57,440.6382736
,775.61,0.52,405.3648328
,776.06,0.49,377.563356
,776.42,0.45,351.5558102
,776.74,0.42,329.2524377
,776.96,0.39,305.0209996
,777.32,0.37,288.3106454
,777.51,0.35,271.5287073
,777.74,0.33,256.622118
,777.96,0.31,241.7068509
,778.09,0.3,232.3767951
,778.28,0.28,219.3131411
,778.38,0.27,209.966805
,778.51,0.26,200.6264456
,778.6,0.25,191.2750752
,778.7,0.24,185.672353
,778.83,0.23,180.0756826
,778.89,0.22,172.5867737
,779.02,0.21,166.9865383
,779.09,0.2,159.4946861
,779.12,0.2,155.7482955
,779.25,0.19,150.1436428
,779.28,0.19,144.5192113
,779.28,0.18,140.7654541
,779.38,0.18,138.9057961
,779.44,0.17,135.1627443
,779.44,0.17,131.4082129
,779.51,0.16,127.6642315
,779.54,0.16,122.0370131
,779.54,0.15,120.1595157
,779.63,0.15,118.296679
,779.67,0.15,116.4237585
,779.73,0.14,110.7994904
,779.89,0.13,99.55227712
,779.92,0.13,97.67796189
,779.92,0.13,101.4348149
,,,
Inv2-S2 1-22-2024 11-16 AM (GMT+5).csv,34.11,9.08,
,53.04,9.06,
,71.81,9.05,
,90.45,9.04,
,108.96,9.03,
,127.47,9.02,
,145.92,9,
,164.24,9,
,182.53,8.99,
,200.78,8.98,
,218.94,8.97,
,236.96,8.97,
,255.02,8.95,
,273.02,8.95,
,290.85,8.94,
,308.65,8.93,
,326.16,8.92,
,343.19,8.9,
,360.02,8.9,
,376.85,8.89,
,393.62,8.89,
,410.29,8.88,
,426.99,8.87,
,443.57,8.86,
,460.07,8.85,
,476.52,8.84,
,492.87,8.82,
,509.15,8.81,
,525.4,8.79,
,541.49,8.76,
,557.54,8.74,
,573.44,8.72,
,589.27,8.65,
,604.71,8.51,
,619.83,8.33,
,634.46,8.09,
,648.57,7.8,
,661.98,7.44,
,674.54,7.03,
,686.29,6.58,
,697.04,6.09,
,706.99,5.59,
,715.87,5.09,
,723.84,4.61,
,731.01,4.14,
,737.24,3.71,
,742.75,3.3,
,747.66,2.94,
,751.86,2.61,
,755.5,2.32,
,758.73,2.05,
,761.54,1.82,
,763.89,1.61,
,765.96,1.43,
,767.77,1.27,
,769.31,1.14,
,770.7,1.01,
,771.9,0.91,
,772.93,0.81,
,773.77,0.74,
,774.57,0.67,
,775.22,0.61,
,775.83,0.55,
,776.32,0.51,
,776.77,0.46,
,777.12,0.43,
,777.45,0.39,
,777.83,0.37,
,778.03,0.35,
,778.29,0.32,
,778.48,0.3,
,778.7,0.28,
,778.83,0.27,
,779,0.25,
,779.16,0.24,
,779.25,0.23,
,779.32,0.22,
,779.48,0.21,
,779.48,0.21,
,779.64,0.2,
,779.77,0.19,
,779.77,0.18,
,779.87,0.17,
,779.9,0.17,
,780.03,0.16,
,780.06,0.16,
,780.09,0.15,
,780.09,0.15,
,780.22,0.14,
,780.35,0.13,
,780.35,0.12,
,780.35,0.13,
,780.38,0.12,
,780.41,0.12,
,780.35,0.12,
,780.35,0.12,
,780.35,0.12,
,780.41,0.12,
,780.41,0.12,
,780.35,0.12,
,,,
Inv2-S3 1-22-2024 11-19 AM (GMT+5).csv,32.44,9.11,
,51.09,9.09,
,69.6,9.07,
,87.99,9.05,
,106.24,9.04,
,124.47,9.03,
,142.63,9.02,
,160.73,9.01,
,178.76,9.01,
,196.7,9,
,214.57,8.99,
,232.44,8.98,
,250.21,8.97,
,267.89,8.95,
,285.48,8.95,
,303.03,8.93,
,320.42,8.92,
,337.1,8.91,
,353.78,8.89,
,370.3,8.88,
,386.76,8.86,
,403.12,8.85,
,419.51,8.84,
,435.78,8.83,
,451.98,8.82,
,468.11,8.81,
,484.12,8.79,
,500.19,8.78,
,516.1,8.76,
,531.89,8.74,
,547.6,8.72,
,563.29,8.7,
,578.81,8.66,
,594.18,8.57,
,609.22,8.41,
,623.81,8.2,
,637.95,7.93,
,651.38,7.6,
,664.17,7.2,
,676.09,6.76,
,687.08,6.28,
,697.2,5.78,
,706.29,5.27,
,714.48,4.76,
,721.74,4.28,
,728.16,3.82,
,733.78,3.4,
,738.76,3.01,
,743,2.66,
,746.66,2.35,
,749.93,2.08,
,752.7,1.83,
,755.04,1.62,
,757.16,1.43,
,758.86,1.26,
,760.47,1.12,
,761.78,1,
,762.94,0.89,
,763.9,0.8,
,764.74,0.71,
,765.48,0.65,
,766.05,0.58,
,766.57,0.53,
,767.08,0.49,
,767.53,0.45,
,767.82,0.41,
,768.17,0.38,
,768.43,0.35,
,768.72,0.33,
,768.88,0.31,
,769.14,0.29,
,769.26,0.27,
,769.39,0.26,
,769.59,0.24,
,769.71,0.23,
,769.78,0.22,
,769.87,0.21,
,769.97,0.2,
,770.03,0.19,
,770.13,0.18,
,770.16,0.18,
,770.23,0.17,
,770.29,0.17,
,770.55,0.14,
,770.55,0.14,
,770.55,0.14,
,770.58,0.14,
,770.61,0.14,
,770.61,0.14,
,770.61,0.14,
,770.61,0.14,
,770.64,0.14,
,770.64,0.14,
,770.61,0.14,
,770.61,0.13,
,770.68,0.13,
,770.68,0.13,
,770.68,0.13,
,770.68,0.13,
,770.71,0.13,
,,,
Inv2-S5 1-22-2024 11-20 AM (GMT+5).csv,35.22,9.21,
,54.02,9.19,
,72.64,9.18,
,91.22,9.17,
,109.73,9.16,
,128.15,9.15,
,146.48,9.13,
,164.74,9.12,
,182.96,9.11,
,201.06,9.1,
,219.1,9.09,
,237.1,9.08,
,255,9.06,
,272.84,9.05,
,290.62,9.04,
,308.3,9.02,
,325.69,9.02,
,342.53,9,
,359.24,8.98,
,375.93,8.97,
,392.51,8.95,
,409.03,8.95,
,425.52,8.94,
,441.94,8.93,
,458.3,8.92,
,474.56,8.91,
,490.83,8.89,
,506.93,8.88,
,522.97,8.86,
,538.94,8.84,
,554.85,8.82,
,570.66,8.78,
,586.18,8.72,
,601.57,8.61,
,616.64,8.42,
,631.19,8.18,
,645.23,7.88,
,658.56,7.52,
,671.08,7.1,
,682.67,6.64,
,693.48,6.15,
,703.27,5.65,
,712.18,5.14,
,720.13,4.65,
,727.17,4.18,
,733.38,3.73,
,738.92,3.32,
,743.65,2.96,
,747.93,2.62,
,751.5,2.32,
,754.68,2.05,
,757.45,1.82,
,759.8,1.61,
,761.92,1.42,
,763.69,1.26,
,765.2,1.12,
,766.49,1,
,767.71,0.9,
,768.64,0.81,
,769.54,0.73,
,770.32,0.66,
,770.99,0.59,
,771.54,0.54,
,772.02,0.49,
,772.5,0.45,
,772.83,0.42,
,773.18,0.39,
,773.5,0.36,
,773.69,0.33,
,773.92,0.31,
,774.14,0.29,
,774.34,0.28,
,774.43,0.26,
,774.66,0.25,
,774.76,0.23,
,774.88,0.22,
,774.95,0.21,
,775.04,0.21,
,775.14,0.19,
,775.21,0.19,
,775.33,0.18,
,775.4,0.17,
,775.43,0.16,
,775.56,0.16,
,775.59,0.15,
,775.78,0.14,
,775.82,0.13,
,775.82,0.13,
,775.78,0.13,
,775.82,0.13,
,775.85,0.13,
,775.85,0.13,
,775.85,0.13,
,775.88,0.13,
,775.85,0.13,
,775.88,0.13,
,775.88,0.13,
,775.88,0.13,
,775.91,0.12,
,775.91,0.13,
